,Date,Quality Level,AQI,AQI Rank in China,PM2.5,PM10,SO2,NO2,CO,O3,Weather Condition,Temperature,Wind Force and Wind Direction
0,2013-10-28,严重污染,306,106,255,277,30,105,2.6,15,霾/阵雨,7℃/16℃,无持续风向≤3级/无持续风向≤3级
1,2013-10-29,良,62,22,39,62,10,46,0.91,27,晴/晴,2℃/16℃,无持续风向≤3级/无持续风向≤3级
2,2013-10-30,良,99,61,71,101,11,72,1.18,14,晴/晴,4℃/17℃,无持续风向≤3级/无持续风向≤3级
3,2013-10-31,中度污染,176,98,135,162,10,96,1.62,2,多云/霾,5℃/14℃,无持续风向≤3级/无持续风向≤3级
4,2013-11-01,重度污染,231,102,181,202,14,100,1.89,0,霾/阴,5℃/12℃,无持续风向≤3级/无持续风向≤3级
5,2013-11-02,严重污染,294,112,243,253,11,104,2.14,0,霾/霾,7℃/15℃,无持续风向≤3级/北风3-4级
6,2013-11-03,良,80,36,53,82,5,45,0.82,0,晴/晴,3℃/17℃,北风3-4级/无持续风向≤3级
7,2013-11-04,良,57,11,36,60,9,54,0.87,0,晴/阴,5℃/17℃,无持续风向≤3级/无持续风向≤3级
8,2013-11-05,中度污染,184,109,143,188,23,95,2.06,0,多云/多云,5℃/16℃,无持续风向≤3级/无持续风向≤3级
9,2013-11-06,中度污染,189,100,91,135,9,55,1.47,0,晴/晴,4℃/17℃,北风4-5级/北风4-5级
10,2013-11-07,良,59,4,32,55,9,42,0.35,0,晴/晴,3℃/16℃,无持续风向≤3级/无持续风向≤3级
11,2013-11-08,轻度污染,106,57,124,160,50,93,2.23,0,阴/多云,5℃/13℃,无持续风向≤3级/无持续风向≤3级
12,2013-11-09,中度污染,178,94,89,114,39,65,1.58,0,霾/多云,1℃/16℃,北风5-6级/北风5-6级
13,2013-11-10,良,53,18,16,39,8,27,0.45,0,晴/晴,0℃/12℃,北风3-4级/无持续风向≤3级
14,2013-11-11,优,47,17,32,56,17,49,0.75,0,晴/晴,1℃/14℃,无持续风向≤3级/无持续风向≤3级
15,2013-11-12,良,77,65,55,81,21,58,1.36,0,晴/多云,1℃/14℃,无持续风向≤3级/无持续风向≤3级
16,2013-11-13,轻度污染,114,82,149,180,48,97,2.76,0,霾/霾,4℃/12℃,无持续风向≤3级/北风3-4级
17,2013-11-14,中度污染,170,91,66,103,19,55,1.31,0,晴/晴,0℃/14℃,北风3-4级/无持续风向≤3级
18,2013-11-15,良,95,46,92,167,27,81,2.12,0,晴/阴,3℃/15℃,无持续风向≤3级/北风4-5级
19,2013-11-16,轻度污染,109,39,40,92,11,30,0.76,0,晴/晴,0℃/12℃,北风5-6级/北风4-5级
20,2013-11-17,优,33,1,9,21,6,20,0.46,0,晴/晴,-1℃/10℃,北风3-4级/无持续风向≤3级
21,2013-11-18,优,19,1,8,16,6,18,0.42,0,晴/晴,-2℃/10℃,北风3-4级/无持续风向≤3级
22,2013-11-19,优,22,1,30,41,16,37,0.77,0,晴/晴,-2℃/10℃,无持续风向≤3级/无持续风向≤3级
23,2013-11-20,良,74,25,59,76,23,54,1.65,0,晴/晴,-2℃/10℃,无持续风向≤3级/无持续风向≤3级
24,2013-11-21,良,92,28,89,103,34,69,1.93,0,晴/晴,-2℃/11℃,无持续风向≤3级/无持续风向≤3级
25,2013-11-22,轻度污染,134,60,126,130,45,83,2.28,3,晴/晴,-1℃/12℃,无持续风向≤3级/无持续风向≤3级
26,2013-11-23,重度污染,212,77,173,158,56,96,2.9,13,晴/霾,2℃/12℃,无持续风向≤3级/无持续风向≤3级
27,2013-11-24,中度污染,169,75,70,130,24,41,1.18,22,阴/晴,0℃/9℃,北风4-5级/北风4-5级
28,2013-11-25,良,59,14,14,26,8,22,0.54,33,晴/晴,-3℃/8℃,北风3-4级/无持续风向≤3级
29,2013-11-26,优,37,3,16,46,9,21,0.75,37,多云/晴,-5℃/7℃,北风4-5级/北风4-5级
30,2013-11-27,优,42,5,6,34,2,6,0.38,50,晴/晴,-5℃/0℃,北风5-6级/北风4-5级
31,2013-11-28,优,31,2,16,32,11,23,0.68,36,晴/晴,-4℃/6℃,北风3-4级/无持续风向≤3级
32,2013-11-29,良,56,24,56,71,30,57,1.69,17,晴/晴,0℃/11℃,无持续风向≤3级/北风3-4级
33,2013-11-30,良,70,33,34,49,26,41,1.01,24,晴/晴,-3℃/10℃,北风3-4级/无持续风向≤3级
34,2013-12-01,良,56,5,60,77,34,56,1.7,15,晴/晴,-3℃/11℃,无持续风向≤3级/无持续风向≤3级
35,2013-12-02,轻度污染,109,41,98,123,53,75,2.53,6,多云/多云,-1℃/11℃,无持续风向≤3级/无持续风向≤3级
